date,Stock Name,negative,neutral,positive,sent_index,sent_roll5,next_ret
2022-01-11,MSFT,0,5,1,0.6666666666666666,0.0321187584345479,0.010432613071546415
2022-01-12,MSFT,1,10,2,0.25,0.0821187584345479,-0.042318218302435984
2022-01-13,MSFT,0,4,1,0.7142857142857143,0.2249759012916907,0.01772845539948764
2022-01-14,MSFT,0,8,1,0.5555555555555556,0.4899331662489558,-0.024328614896150236
2022-01-18,MSFT,0,7,0,0.0,0.1390831390831391,0.0022135293080769447
2022-01-19,MSFT,2,7,1,-0.2702702702702702,-0.026082026082026,-0.005675495591174862
2022-01-20,MSFT,2,5,0,-0.8,-0.3679002079002079,-0.018477510298354538
2022-01-21,MSFT,15,20,5,-0.4545454545454545,-0.4588092988092987,0.001154058091056065
2022-01-24,MSFT,3,16,1,-0.3571428571428571,-0.6038191438191438,-0.026609664912766617
2022-01-25,MSFT,2,13,1,-0.2325581395348837,-0.4903307717261206,0.028517779603332905
2022-01-26,MSFT,1,12,2,0.238095238095238,-0.351802633197982,0.010538981784988133
2022-01-27,MSFT,1,9,3,0.4081632653061224,-0.1220218319886093,0.028070895777732252
2022-01-28,MSFT,1,10,1,0.0,0.0113115013447239,0.008839661323819081
2022-01-31,MSFT,1,12,2,0.238095238095238,0.080668704728855,-0.007152282924254405
2022-02-01,MSFT,4,23,4,0.0,-0.0009639483323694,0.015218373694143805
2022-02-02,MSFT,11,12,2,-0.6338028169014085,-0.1277245117126511,-0.03893536519906249
2022-02-03,MSFT,39,146,42,0.0313807531380753,0.0323977927611177,0.015566892342900651
2022-02-04,MSFT,21,60,19,-0.0434782608695652,-0.0815610173075321,-0.016314171028849134
2022-02-07,MSFT,0,16,3,0.6521739130434783,0.3292575170872424,0.01199623647483139
2022-02-08,MSFT,4,16,2,-0.2631578947368421,0.2703497875122589,0.021845240701877433
2022-02-09,MSFT,2,6,2,0.0,0.2790454396861719,-0.028370243879925927
2022-02-10,MSFT,1,2,0,-0.8333333333333334,-0.001906941266209,-0.02429259686503371
2022-02-11,MSFT,4,7,0,-0.851063829787234,-0.2590762289627862,-0.00013909173099646566
2022-02-14,MSFT,0,8,0,0.0,-0.3368794326241134,0.018546984767336516
2022-02-15,MSFT,1,11,0,-0.4761904761904761,-0.265450861195542,-0.0011643271998443838
2022-02-16,MSFT,0,14,0,0.0,-0.0952380952380952,-0.029278848126017
2022-02-17,MSFT,0,11,2,0.6451612903225806,0.0337941628264209,-0.009631400831786596
2022-02-18,MSFT,0,11,2,0.6451612903225806,0.162826420890937,-0.0007431586732662421
2022-02-22,MSFT,0,4,1,0.7142857142857143,-0.0785867895545315,-0.025876885521825765
2022-02-23,MSFT,2,5,0,-0.8,-0.3676190476190477,0.05108657137325534
2022-02-24,MSFT,3,6,1,-0.4347826086956522,-0.2945755693581781,0.00923763449829007
2022-02-25,MSFT,1,8,1,0.0,-0.2945755693581781,0.0049794417240025535
2022-02-28,MSFT,1,5,0,-0.6666666666666666,0.0874024526198438,-0.012856359649122684
